broker_folder,markdown_file,document_sha1,processed_at,raw_json_path,broker_name,publish_date,announcement_stage,procurement_category,project_subcategory,project_name,procurement_method,procurement_action,procurement_scope_summary,budget_amount_yuan,ceiling_price_yuan,winning_amount_yuan,bid_deadline_at,service_period_months,delivery_period_days,winning_supplier
caitong_securities,3c17d922d76cc817f4d3f88d.md,3950619c33d6a976e3ebd41ae56e8a0dc130b418,2026-06-25T08:25:12.261700+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\3c17d922d76cc817f4d3f88d.json,财通证券,2026-06-16,结果公示,IT软硬件,业务系统与软件,2026年企业微信会话存档授权费和外部联系人费用项目,单一来源,,,,,,,,,深圳市腾讯计算机系统有限公司
caitong_securities,43a019180a2e24690d231b96.md,d46364e43f7ef07eb3fa1f4a879bc770f3207aab,2026-06-25T08:25:12.265462+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\43a019180a2e24690d231b96.json,财通证券,2026-06-02,结果公示,专业及金融服务,营销与投研数据,杭州庆春路营业部2026年高临论坛咨询服务采购项目,单一来源,,,,,,,,,高临管理咨询（上海）有限公司
caitong_securities,46fc4b428de6391c5d8de053.md,4420ba472443c55dc4ec5395444b125059fbe626,2026-06-25T08:25:12.263288+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\46fc4b428de6391c5d8de053.json,财通证券,2026-05-29,结果公示,IT软硬件,业务系统与软件,其他(技术平台)-AI 基础大模型服务-AI AGENT 平台订阅,单一来源,,,,,,,,,北京火山引擎科技有限公司
caitong_securities,4aecbfeab361dfd6257e60c3.md,0fbce26c6cf94b3366e3bea2f73333f9f961f196,2026-06-25T08:25:12.262196+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\4aecbfeab361dfd6257e60c3.json,财通证券,2026-06-15,采购招标,专业及金融服务,法律与合规服务,2026年常年法律顾问供应商入围项目,公开招标,,,,,,,,,
caitong_securities,622264e5837816183c74121f.md,0c1b2116e11c4666fbb4242025b3bdcc5ea64b97,2026-06-25T08:25:12.266355+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\622264e5837816183c74121f.json,财通证券,2026-06-23,结果公示,IT软硬件,业务系统与软件,其他项目（监管）-上交所新固定收益系统市场接口优化项目（改造）,单一来源,,,,,,,,,恒生电子股份有限公司
caitong_securities,669b01ccf8b1bbe800ff673f.md,7ea9c7e428fc3e161399b4ede599521bac17608c,2026-06-25T08:25:12.268201+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\669b01ccf8b1bbe800ff673f.json,财通证券,2026-06-04,结果公示,IT软硬件,IT运维与外包,新三板督导助手2026-2027年度运维服务项目,单一来源,,,,,,,,,北京财证通信息技术有限公司
caitong_securities,6be49475f3ab3e89e5803f0a.md,4a695fad6239056e07257f5f747f9b3160e00121,2026-06-25T08:25:12.267998+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\6be49475f3ab3e89e5803f0a.json,财通证券,2026-06-23,结果公示,IT软硬件,业务系统与软件,其他项目(监管)-通达信系统(滨江机房)交易等模块信创改造项目,单一来源,,,,,,,,,深圳市财富趋势科技股份有限公司
caitong_securities,77e8b34a18cb9797fbd7cd37.md,96ae41dd7339fa8331126c4298ab6aac94c93501,2026-06-25T08:25:12.266996+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\77e8b34a18cb9797fbd7cd37.json,财通证券,2026-06-24,结果公示,IT软硬件,业务系统与软件,UF3.0受益所有人功能改造,单一来源,,,,,,,,,恒生电子股份有限公司
caitong_securities,7a98ed98fc6ea8b3a060deb5.md,e1cd5132417ad8970d2cf852bbb6c3e87ac0c4b8,2026-06-25T08:25:12.267596+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\7a98ed98fc6ea8b3a060deb5.json,财通证券,2026-06-15,采购招标,IT软硬件,网络与信息安全,存量业务系统XC改造配套网络设备采购项目,询价采购,,,,,,,,,
caitong_securities,7d304a84a46a96cda2b8cd2d.md,ebb891a7d4dde76ae00a5b27ffe777d018017a63,2026-06-25T08:25:12.269298+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\7d304a84a46a96cda2b8cd2d.json,财通证券,2026-05-25,结果公示,IT软硬件,业务系统与软件,深沪多资产ETF项目（改造）,单一来源,,,,,,,,,恒生电子股份有限公司
caitong_securities,7d304a84a46a96cda2b8cd2d.md,ebb891a7d4dde76ae00a5b27ffe777d018017a63,2026-06-25T08:25:12.269298+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\7d304a84a46a96cda2b8cd2d.json,财通证券,2026-05-25,结果公示,IT软硬件,业务系统与软件,深沪多资产ETF项目（改造）,单一来源,,,,,,,,,深圳华锐分布式技术股份有限公司
caitong_securities,7d304a84a46a96cda2b8cd2d.md,ebb891a7d4dde76ae00a5b27ffe777d018017a63,2026-06-25T08:25:12.269298+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\7d304a84a46a96cda2b8cd2d.json,财通证券,2026-05-25,结果公示,IT软硬件,业务系统与软件,深沪多资产ETF项目（改造）,单一来源,,,,,,,,,福建新意科技有限公司
caitong_securities,8278aff9617ad4d68c21d13a.md,7083146710b4b074a6b1cb2c72a2974242d3bc5a,2026-06-25T08:25:12.271422+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\8278aff9617ad4d68c21d13a.json,财通证券,2026-06-24,采购招标,IT软硬件,基础算力与云存储,2026年NAS存储设备更新项目（重新招标）,公开招标,,,,,,,,,
caitong_securities,a453f4bda6a33aa9f8f7609e.md,260f1e880da5f22d1bac646f056966b101891796,2026-06-25T08:25:12.270690+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\a453f4bda6a33aa9f8f7609e.json,财通证券,2026-06-24,采购招标,IT软硬件,IT运维与外包,2026年网络维保服务费项目,竞争性谈判,,,,,,,,,
caitong_securities,a7d8875c0122cd25e5c8dfe0.md,68caadf7ed35a25912d909405c71b4dca46b00dd,2026-06-25T08:25:12.271079+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\a7d8875c0122cd25e5c8dfe0.json,财通证券,2026-06-25,结果公示,IT软硬件,基础算力与云存储,2026年数据中心信创超融合软件扩容（追加）项目-标项一,询价采购,,,,,568000,,,,上海先云网络科技有限公司
caitong_securities,a7d8875c0122cd25e5c8dfe0.md,68caadf7ed35a25912d909405c71b4dca46b00dd,2026-06-25T08:25:12.271079+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\a7d8875c0122cd25e5c8dfe0.json,财通证券,2026-06-25,结果公示,IT软硬件,基础算力与云存储,2026年数据中心信创超融合软件扩容（追加）项目-标项二,询价采购,,,,,303000,,,,浙江爱特电子技术股份有限公司
caitong_securities,ae90888b3c61fa8759429e4d.md,f2f2ecc85c8313c57b2930af92357da5d142820d,2026-06-25T08:25:12.281404+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\ae90888b3c61fa8759429e4d.json,财通证券,2026-06-12,采购招标,IT软硬件,IT运维与外包,财通证券股份有限公司其他（技术平台）-用户业务感知技术服务(重新招标)项目,公开招标,,,,,,,,,
caitong_securities,b1b09e9f9c67559cc2e70383.md,9d7f14700486ef36f06665b37c0670bcd98f51cb,2026-06-25T08:25:12.273332+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\b1b09e9f9c67559cc2e70383.json,财通证券,2026-06-02,结果公示,专业及金融服务,营销与投研数据,杭州庆春路营业部2026年弘则弥道（上海）咨询服务采购项目,单一来源,,,,,,,,,弘则弥道（上海）投资咨询有限公司
caitong_securities,b4e9dfcad685c9735e0c3d40.md,cbd2987a7ceff4b407a5edc8921f2d17789d72c7,2026-06-25T08:25:12.273950+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\b4e9dfcad685c9735e0c3d40.json,财通证券,2026-06-17,采购招标,其他,其他未分类,杭州总部生产类报废资产处置项目,公开招标,,,,,,,,,
caitong_securities,c28d24822c82fe47b85db3ab.md,7e1eb5ee0008ddb9a13353ae62dc3683d03f556c,2026-06-25T08:25:12.276184+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\c28d24822c82fe47b85db3ab.json,财通证券,2026-06-22,采购招标,IT软硬件,网络与信息安全,财通证券股份有限公司上海外部机房建设项目网络设备采购项目,询价采购,,,,,,,,,
caitong_securities,cbe112badb0a56f3b3c622af.md,70e9eaf3f508af968d264b47b9b496d7844634bd,2026-06-25T08:25:12.276243+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\cbe112badb0a56f3b3c622af.json,财通证券,2026-06-02,结果公示,专业及金融服务,营销与投研数据,杭州庆春路营业部2026年弘则弥道（上海）咨询服务采购项目,单一来源,,,,,,,,,弘则弥道（上海）投资咨询有限公司
caitong_securities,cd611b80520c9c18bf40d6eb.md,da604fdd9c8698469f40f73c52394564b3c1f56e,2026-06-25T08:25:12.276995+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\cd611b80520c9c18bf40d6eb.json,财通证券,2026-06-24,结果公示,专业及金融服务,营销与投研数据,财通证券2026年上证报品宣、高端资讯及机构对接合作项目,单一来源采购,,,,,1190000,,,,上海证券信息有限公司
caitong_securities,dace05ff9608cbc8f9738240.md,b67213ab0d747357157d8b352daf83935d7c93a3,2026-06-25T08:25:12.276853+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\dace05ff9608cbc8f9738240.json,财通证券,2026-06-23,采购招标,专业及金融服务,法律与合规服务,2026年常年法律顾问供应商入围项目,公开招标,,,,,,,,,
caitong_securities,dafd34c0973fad1b827e12cc.md,8a535f3db03a8192ae4690c1d7aacb95719c8678,2026-06-25T08:25:12.288426+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\dafd34c0973fad1b827e12cc.json,财通证券,2026-06-24,结果公示,IT软硬件,业务系统与软件,公司员工培训工作室课件播放一体机采购项目,政企直购,,,,,132000,,,,神州数码数云科技有限公司
caitong_securities,dcd0c49dccced979dde64398.md,fbcbe68717c72498adcce9e3ff8d3cfb1da8ade1,2026-06-25T08:25:12.290214+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\dcd0c49dccced979dde64398.json,财通证券,2026-06-16,采购招标,专业及金融服务,人力与外包服务,财通证券2026-2028年公司补充医保服务商采购项目,公开招标,,,,,,,,,
caitong_securities,e13f74491f350fb0fcab1e3d.md,37ff82f970825f7bf017fa7ef5c52b179a799b7e,2026-06-25T08:25:12.288477+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\e13f74491f350fb0fcab1e3d.json,财通证券,2026-06-22,结果公示,IT软硬件,网络与信息安全,2026数据中心WAF订阅服务采购项目,竞争性谈判,,,,,,,,,上海迈望信息技术有限公司
caitong_securities,f6f9c367b58b931990c08f05.md,28625bf33def5856868cadf33fb7ca223bf151c0,2026-06-25T08:25:12.290260+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\f6f9c367b58b931990c08f05.json,财通证券,2026-06-25,流标废标,IT软硬件,IT运维与外包,财通证券股份有限公司其他（技术平台）-用户业务感知技术服务(重新招标)项目,公开招标,,,,,,,,,
changjiang_securities,0e1398e80b0a6dc57de54876.md,88df98b9a3fcffd4ca994d6cea85904fb52e147d,2026-06-25T08:25:12.291741+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\changjiang_securities\0e1398e80b0a6dc57de54876.json,长江证券,2026-05-06,采购招标,其他,工程装修与物业,长江证券CBD数据中心机房E改造工程项目,公开招标,,,,,,,,,
changjiang_securities,161c4f610fc091d7c2c18cf5.md,e7d460b1b9b2e87136aa1470d9a715bd61422e16,2026-06-25T08:25:12.293168+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\changjiang_securities\161c4f610fc091d7c2c18cf5.json,长江证券,2025-11-21,采购招标,专业及金融服务,审计与咨询服务,遴选公司债券承销商项目,公开招标,,,,,,,,,
changjiang_securities,864aca4c81d2e66b187d20ff.md,1301af84e7c49afa135ab1e9675779fe587fe0e1,2026-06-25T08:25:12.294234+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\changjiang_securities\864aca4c81d2e66b187d20ff.json,长江证券,2025-09-19,采购招标,专业及金融服务,审计与咨询服务,开发运维一体化能力成熟度四级咨询评估服务采购项目,公开招标,,,,,,,,,
changjiang_securities,9748c7fce84197a79e0220ea.md,34bb3653db941b80294875664c8bfd5e5537d2ce,2026-06-25T08:25:12.297485+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\changjiang_securities\9748c7fce84197a79e0220ea.json,长江证券,2026-01-14,采购招标,其他,工程装修与物业,长江证券网点装修标准手册项目,公开招标,,,,,,,,,
changjiang_securities,a7f4d4d1e7bb41ca12377e48.md,3820ece4761f9018dd6c0ef35bd422b538bc62c5,2026-06-25T08:25:12.297828+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\changjiang_securities\a7f4d4d1e7bb41ca12377e48.json,长江证券,2025-09-25,采购招标,其他,工程装修与物业,长江证券大厦部分区域综合防水维修改造项目,公开招标,,,,,,,,,
changjiang_securities,c319fc853d7a185b65c96649.md,3c37525e1da44aa16d0da624cdea1d3cb181c64a,2026-06-29T01:23:01.361735+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\changjiang_securities\c319fc853d7a185b65c96649.json,,,,,,,,,,,,,,,,
changjiang_securities,c883850d909c45e9ee155c9b.md,09cbbd03584d56d84b8993ed0df697440334025a,2026-06-25T08:25:12.297515+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\changjiang_securities\c883850d909c45e9ee155c9b.json,长江证券,2026-06-14,采购招标,IT软硬件,网络与信息安全,长江证券App安全服务采购项目,公开招标,,,,,,,,,
changjiang_securities,cbabfb789ff642aa1d6a847f.md,5f55211c9c19bfa4d14e08881e0d388b4fb49e90,2026-06-25T08:25:12.298302+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\changjiang_securities\cbabfb789ff642aa1d6a847f.json,长江证券,2025-11-14,采购招标,专业及金融服务,营销与投研数据,长江证券文化品牌宣传片制作项目,公开招标,,,,,,,,,
changjiang_securities,e522fc2f8e4761f1b1082127.md,252a83bc53b9ee33d3f672cf7c05f29b812f2435,2026-06-25T08:25:12.298702+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\changjiang_securities\e522fc2f8e4761f1b1082127.json,长江证券,2026-04-16,采购招标,IT软硬件,业务系统与软件,人力资源管理系统升级改造项目,公开招标,,,,,,,,,
changjiang_securities,fe408caf0ded8f0d367fd6a5.md,9f4b586aa1fd7e78e9a930579af536a2a92ea0a3,2026-06-25T08:25:12.298766+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\changjiang_securities\fe408caf0ded8f0d367fd6a5.json,长江证券,2026-04-21,采购招标,其他,工程装修与物业,长江证券股份有限公司光谷数据中心机房工程设计项目,公开招标,,,,,,,,,
chengtong_securities,087aab647fb4ab4531cae554.md,d903269c48c457d722f1708a9ff6de0df2d9ba16,2026-06-25T08:25:12.304727+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\chengtong_securities\087aab647fb4ab4531cae554.json,诚通证券,2026-04-23,采购招标,IT软硬件,业务系统与软件,2026年第一批中间件采购项目,公开招标,,,,,,,,,
chengtong_securities,0a28810fb2c3a7b44c22cb37.md,f3460a5c6637944a5db2c8ffddd5e3fe570f037f,2026-06-25T08:25:12.305179+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\chengtong_securities\0a28810fb2c3a7b44c22cb37.json,诚通证券,2025-07-28,采购招标,IT软硬件,基础算力与云存储,诚通证券2025年数据备份平台项目,公开招标,,,,,,,,,
chengtong_securities,178e00bd6a9fae02d6bd7ad4.md,148a4ec691768874f17506f21f13e8472f49cbf7,2026-06-25T08:25:12.305485+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\chengtong_securities\178e00bd6a9fae02d6bd7ad4.json,诚通证券,2026-04-29,结果公示,IT软硬件,基础算力与云存储,诚通证券2026年第一批设备采购项目-标包一,公开招标,,,,,,,,,北京银信长远科技股份有限公司
chengtong_securities,178e00bd6a9fae02d6bd7ad4.md,148a4ec691768874f17506f21f13e8472f49cbf7,2026-06-25T08:25:12.305485+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\chengtong_securities\178e00bd6a9fae02d6bd7ad4.json,诚通证券,2026-04-29,结果公示,IT软硬件,基础算力与云存储,诚通证券2026年第一批设备采购项目-标包三,公开招标,,,,,,,,,北京先进数通信息技术股份公司
chengtong_securities,178e00bd6a9fae02d6bd7ad4.md,148a4ec691768874f17506f21f13e8472f49cbf7,2026-06-25T08:25:12.305485+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\chengtong_securities\178e00bd6a9fae02d6bd7ad4.json,诚通证券,2026-04-29,结果公示,IT软硬件,基础算力与云存储,诚通证券2026年第一批设备采购项目-标包二,公开招标,,,,,,,,,北京银信长远科技股份有限公司
chengtong_securities,178e00bd6a9fae02d6bd7ad4.md,148a4ec691768874f17506f21f13e8472f49cbf7,2026-06-25T08:25:12.305485+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\chengtong_securities\178e00bd6a9fae02d6bd7ad4.json,诚通证券,2026-04-29,结果公示,IT软硬件,基础算力与云存储,诚通证券2026年第一批设备采购项目-标包五,公开招标,,,,,,,,,北京先进数通信息技术股份公司
chengtong_securities,178e00bd6a9fae02d6bd7ad4.md,148a4ec691768874f17506f21f13e8472f49cbf7,2026-06-25T08:25:12.305485+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\chengtong_securities\178e00bd6a9fae02d6bd7ad4.json,诚通证券,2026-04-29,流标废标,IT软硬件,基础算力与云存储,诚通证券2026年第一批设备采购项目-标包四,公开招标,,,,,,,,,
chengtong_securities,221e95b1ab1b73e543d47779.md,65603a57c236a7bbbfe46233f75a5de7c536745e,2026-06-25T08:25:12.304798+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\chengtong_securities\221e95b1ab1b73e543d47779.json,诚通证券,2026-05-22,结果公示,IT软硬件,IT运维与外包,诚通证券2026年IT专业技术服务项目,公开招标,,,,,,,,,中电信数智科技有限公司
chengtong_securities,221e95b1ab1b73e543d47779.md,65603a57c236a7bbbfe46233f75a5de7c536745e,2026-06-25T08:25:12.304798+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\chengtong_securities\221e95b1ab1b73e543d47779.json,诚通证券,2026-05-22,结果公示,IT软硬件,IT运维与外包,诚通证券2026年IT专业技术服务项目,公开招标,,,,,,,,,中电金信软件有限公司
chengtong_securities,2614bbf0dede535910ab198a.md,fee2104a2a7cf0018fc48ec796c552f2d1d88027,2026-06-25T08:25:12.305254+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\chengtong_securities\2614bbf0dede535910ab198a.json,诚通证券,2026-05-08,采购招标,IT软硬件,基础算力与云存储,2026年第一批设备补充采购项目,公开招标,,,,,,,,,
chengtong_securities,42de57d489d18955e8ac682b.md,b7c596a5e1e12381c3aff00b3d4d72b11c80ee8a,2026-06-25T08:25:12.304957+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\chengtong_securities\42de57d489d18955e8ac682b.json,诚通证券,2026-06-10,结果公示,IT软硬件,基础算力与云存储,诚通证券2026年第一批设备补充采购项目,公开招标,,,,,,,,,北京神州新桥科技有限公司
chengtong_securities,5932c25c9d0738540d76d1bd.md,6225426b8691892c20c4768e90a5821c49bfe0a1,2026-06-25T08:25:12.308536+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\chengtong_securities\5932c25c9d0738540d76d1bd.json,诚通证券,2025-08-14,采购招标,IT软硬件,基础算力与云存储,诚通证券2025年信创设备集中采购项目-标包一：第一类服务器,公开招标,,,,,,,,,
chengtong_securities,5932c25c9d0738540d76d1bd.md,6225426b8691892c20c4768e90a5821c49bfe0a1,2026-06-25T08:25:12.308536+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\chengtong_securities\5932c25c9d0738540d76d1bd.json,诚通证券,2025-08-14,采购招标,IT软硬件,网络与信息安全,诚通证券2025年信创设备集中采购项目-标包三：网络设备,公开招标,,,,,,,,,
chengtong_securities,5932c25c9d0738540d76d1bd.md,6225426b8691892c20c4768e90a5821c49bfe0a1,2026-06-25T08:25:12.308536+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\chengtong_securities\5932c25c9d0738540d76d1bd.json,诚通证券,2025-08-14,采购招标,IT软硬件,基础算力与云存储,诚通证券2025年信创设备集中采购项目-标包二：第二类服务器,公开招标,,,,,,,,,
chengtong_securities,604c1ba64368c38364d49b93.md,e57e2a0180c324bc98e7891a9154d1714fe5c65f,2026-06-25T08:25:12.312388+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\chengtong_securities\604c1ba64368c38364d49b93.json,诚通证券,2026-06-05,采购招标,IT软硬件,基础算力与云存储,2026年第一批超融合软件采购项目,公开招标,,,,,,,,,
chengtong_securities,73a08cdcc605beeb3f9e05c5.md,079f50b47de9a5e33c58a319e30c064c32c1a5ff,2026-06-25T08:25:12.312069+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\chengtong_securities\73a08cdcc605beeb3f9e05c5.json,诚通证券,2025-08-25,结果公示,IT软硬件,基础算力与云存储,诚通证券2025年数据备份平台项目,公开招标,,,,,,,,,北京华胜天成科技股份有限公司
