序号,分类,所属模块,源端,目标域名,协议,目标端口,用途,开放类型,配置来源,备注
13,生产运行,App更新,Backend / App Watch,www.essence.com.cn,HTTPS,443,国投证券 /api/softwares,按功能启用,backend/config/broker_app_watch/brokers.yaml,下载地址只保存/展示，后端不继续下载
14,生产运行,App更新,Backend / App Watch,www.cgws.com,HTTPS,443,长城证券下载页面,按功能启用,backend/config/broker_app_watch/brokers.yaml,实际请求 source_url
15,生产运行,App更新,Backend / App Watch,www.firstcapital.com.cn,HTTPS,443,第一创业下载页面,按功能启用,backend/config/broker_app_watch/brokers.yaml,实际请求 source_url
16,生产运行,App更新,Backend / App Watch,www.ciccwm.com,HTTPS,443,中金财富 App API,按功能启用,backend/config/broker_app_watch/brokers.yaml,下载地址只保存/展示，后端不继续下载
17,生产运行,App更新,Backend / App Watch,www.dgzq.com.cn,HTTPS,443,东莞证券 App API,按功能启用,backend/config/broker_app_watch/brokers.yaml,下载地址只保存/展示，后端不继续下载
18,生产运行,App更新,Backend / App Watch,www.ykzq.com,HTTPS,443,粤开证券 App API,按功能启用,backend/config/broker_app_watch/brokers.yaml,下载地址只保存/展示，后端不继续下载
19,生产运行,App更新,Backend / App Watch,www.easec.com.cn,HTTPS,443,东亚前海证券 App API,按功能启用,backend/config/broker_app_watch/brokers.yaml,实际请求 /servlet/json
20,生产运行,App更新,Backend / App Watch,www.zszq.com,HTTPS,443,中山证券下载页面,按功能启用,backend/config/broker_app_watch/brokers.yaml,实际请求 source_url
21,生产运行,App更新,Backend / App Watch,www.ydzq.sgcc.com.cn,HTTP,80,英大证券下载页面,按功能启用,backend/config/broker_app_watch/brokers.yaml,生产明确使用 HTTP 非加密访问
22,生产运行,App更新,Backend / App Watch,www.ytzq.com,HTTPS,443,银泰证券 App API,按功能启用,backend/config/broker_app_watch/brokers.yaml,实际请求 /web/bus/json
23,生产运行,App更新动态资源,Backend / App Watch,响应中的图片 CDN FQDN（待实测）,HTTPS,443,QQ 截图 OCR 图片下载,按功能启用,backend/broker_app_watch/parsers/broker_specific/qq_app_detail_ocr.py; backend/broker_app_watch/collectors/http_collector.py,从 HTML img src 动态取得并 follow_redirects；不要放行整个根域名
24,生产运行,App更新动态资源,Backend / App Watch,响应中的图片 CDN FQDN（待实测）,HTTPS,443,平安图片 OCR 图片下载,按功能启用,backend/broker_app_watch/parsers/broker_specific/pingan_image_ocr.py; backend/broker_app_watch/collectors/http_collector.py,从 API 图片列表动态取得并 follow_redirects；pazq 默认禁用
25,生产运行,App更新动态资源,Backend / App Watch,各来源 301/302 最终 FQDN（待实测）,HTTPS/HTTP,按最终 URL,App Watch 来源请求重定向,按功能启用,backend/broker_app_watch/collectors/http_collector.py,所有 App Watch HTTP 请求 follow_redirects=True；需用一次低频采集补齐实际主机
26,部署升级,源码发布,Release host,github.com,HTTPS,443,git fetch origin release branch,临时,scripts/deploy-release.ps1; git remote,当前仓库 origin 指向 GitHub；如改用内网 Git 镜像则删除此项并替换为镜像 FQDN
27,部署升级,前端依赖,Build host,registry.npmmirror.com,HTTPS,443,pnpm fetch/install 前端依赖,临时,frontend/.npmrc,本地/显式 pnpm 使用；Dockerfile 的 pnpm fetch 在 COPY frontend/ 之前，未必使用此 .npmrc
28,部署升级,前端依赖,Build host,默认 npm registry（FQDN 待确认）,HTTPS,443,干净 frontend.Dockerfile 构建中的 pnpm fetch,临时,frontend.Dockerfile,构建前未复制 .npmrc；需以构建日志/环境确认，不直接按此占用固定白名单
29,部署升级,后端依赖,Build host,pypi.org,HTTPS,443,pip 默认包索引（若未配置内部镜像）,临时,backend.Dockerfile; requirements.txt,仓库未固定 pip index；需以构建机 pip.conf/环境为准
30,部署升级,后端依赖,Build host,files.pythonhosted.org,HTTPS,443,pip wheel 下载分发域名（若使用公共 PyPI）,临时,backend.Dockerfile; requirements.txt,仓库未固定；若内部镜像不返回此域名则不申请
31,部署升级,Docker镜像,Build host,Docker daemon 配置的 Registry/Mirror（待确认）,HTTPS,443,拉取 python/node/nginx 基础镜像,临时,backend.Dockerfile; frontend.Dockerfile; deploy/docker-compose.example.yml,镜像名未限定 registry；以 Docker daemon 实际 mirror 为准，不直接申请全 Docker Hub
32,部署升级,Linux软件源,Build host,基础镜像内 APT 源 FQDN（待确认）,HTTP/HTTPS,80/443,backend.Dockerfile 的 apt-get update/install,临时,backend.Dockerfile,源地址来自 python:3.11-slim 镜像内部配置；建议在联网构建机完成
33,开发测试,本地开发,Developer workstation,localhost / 127.0.0.1,HTTP,3000/8000,Next.js 开发前端与本地 FastAPI,不申请,frontend/.env.example; .env.example,仅回环地址；不属于外网白名单
